,User ID,Subscription Type,Join Date,Last Payment Date,Country,Region Code,Age,나이대,연령대,Gender,Device,Subscription Cost,Total Library Size,No. of TV Shows,No. of Movies
0,1,Basic,2022-01-15,2023-06-10,United States,UCAN,28,20대,청년층,Male,Smartphone,8.99,5818,3826,1992
1,2,Premium,2021-09-05,2023-06-22,Canada,UCAN,35,30대,중년층,Female,Tablet,15.03,6239,4311,1928
2,3,Standard,2023-02-28,2023-06-27,United Kingdom,EMEA,42,40대,중년층,Male,Smart TV,13.2,6643,4551,2092
3,4,Standard,2022-07-10,2023-06-26,Australia,APAC,51,50대 이상,장년층,Female,Laptop,12.12,6114,4050,2064
4,5,Basic,2023-05-01,2023-06-28,Germany,EMEA,33,30대,청년층,Male,Smartphone,9.03,5668,3814,1854
5,6,Premium,2022-03-18,2023-06-27,France,EMEA,29,20대,청년층,Female,Smart TV,20.32,5445,3604,1841
6,7,Standard,2021-12-09,2023-06-25,Brazil,LATM,46,40대,중년층,Male,Tablet,7.11,4972,3162,1810
7,8,Basic,2023-04-02,2023-06-24,Mexico,LATM,39,30대,중년층,Female,Laptop,6.62,4993,3158,1835
8,9,Standard,2022-10-20,2023-06-23,Spain,EMEA,37,30대,중년층,Male,Smartphone,14.67,5229,3536,1693
9,10,Premium,2023-01-07,2023-06-22,Italy,EMEA,44,40대,중년층,Female,Smart TV,20.32,5183,3545,1638
10,11,Basic,2022-05-16,2023-06-22,United States,UCAN,31,30대,청년층,Female,Smartphone,8.99,5818,3826,1992
11,12,Premium,2023-03-23,2023-06-28,Canada,UCAN,45,40대,중년층,Male,Tablet,15.03,6239,4311,1928
12,13,Standard,2021-11-30,2023-06-27,United Kingdom,EMEA,48,40대,중년층,Female,Laptop,13.2,6643,4551,2092
13,14,Basic,2022-08-01,2023-06-26,Australia,APAC,27,20대,청년층,Male,Smartphone,7.84,6114,4050,2064
14,15,Standard,2023-05-09,2023-06-28,Germany,EMEA,38,30대,중년층,Female,Smart TV,14.67,5668,3814,1854
15,16,Premium,2022-04-07,2023-06-27,France,EMEA,36,30대,중년층,Male,Tablet,20.32,5445,3604,1841
16,17,Basic,2022-01-24,2023-06-25,Brazil,LATM,30,30대,청년층,Female,Laptop,4.61,4972,3162,1810
17,18,Standard,2021-10-18,2023-06-24,Mexico,LATM,43,40대,중년층,Male,Smartphone,10.43,4993,3158,1835
18,19,Premium,2023-02-15,2023-06-23,Spain,EMEA,32,30대,청년층,Female,Smart TV,20.32,5229,3536,1693
19,20,Basic,2023-05-27,2023-06-22,Italy,EMEA,41,40대,중년층,Male,Tablet,9.03,5183,3545,1638
20,21,Premium,2023-06-10,2023-06-22,United States,UCAN,26,20대,청년층,Female,Laptop,17.99,5818,3826,1992
21,22,Basic,2022-07-22,2023-06-28,Canada,UCAN,34,30대,청년층,Male,Smartphone,7.91,6239,4311,1928
22,23,Standard,2021-12-05,2023-06-27,United Kingdom,EMEA,49,40대,중년층,Female,Smart TV,13.2,6643,4551,2092
23,24,Standard,2022-04-03,2023-06-26,Australia,APAC,31,30대,청년층,Male,Tablet,12.12,6114,4050,2064
24,25,Basic,2023-03-14,2023-06-28,Germany,EMEA,40,40대,중년층,Female,Laptop,9.03,5668,3814,1854
25,26,Premium,2022-01-12,2023-06-27,France,EMEA,29,20대,청년층,Male,Smartphone,20.32,5445,3604,1841
26,27,Basic,2022-08-29,2023-06-25,Brazil,LATM,47,40대,중년층,Female,Smart TV,4.61,4972,3162,1810
27,28,Standard,2021-09-27,2023-06-24,Mexico,LATM,33,30대,청년층,Male,Tablet,10.43,4993,3158,1835
28,29,Premium,2022-12-19,2023-06-23,Spain,EMEA,36,30대,중년층,Female,Laptop,20.32,5229,3536,1693
29,30,Basic,2023-05-17,2023-06-22,Italy,EMEA,42,40대,중년층,Male,Smartphone,9.03,5183,3545,1638
30,31,Premium,2023-02-03,2023-06-22,United States,UCAN,28,20대,청년층,Female,Smart TV,17.99,5818,3826,1992
31,32,Basic,2022-07-07,2023-06-28,Canada,UCAN,37,30대,중년층,Male,Tablet,7.91,6239,4311,1928
32,33,Standard,2022-01-21,2023-06-27,United Kingdom,EMEA,41,40대,중년층,Female,Laptop,13.2,6643,4551,2092
33,34,Standard,2022-05-25,2023-06-26,Australia,APAC,29,20대,청년층,Male,Smartphone,12.12,6114,4050,2064
34,35,Basic,2023-04-11,2023-06-28,Germany,EMEA,39,30대,중년층,Female,Smart TV,9.03,5668,3814,1854
35,36,Premium,2022-03-01,2023-06-27,France,EMEA,35,30대,중년층,Male,Tablet,20.32,5445,3604,1841
36,37,Basic,2022-09-14,2023-06-25,Brazil,LATM,45,40대,중년층,Female,Laptop,4.61,4972,3162,1810
37,38,Standard,2021-11-05,2023-06-24,Mexico,LATM,32,30대,청년층,Male,Smartphone,10.43,4993,3158,1835
38,39,Premium,2022-12-28,2023-06-23,Spain,EMEA,27,20대,청년층,Female,Smart TV,20.32,5229,3536,1693
39,40,Basic,2023-03-07,2023-06-22,Italy,EMEA,48,40대,중년층,Male,Tablet,9.03,5183,3545,1638
40,41,Premium,2023-01-20,2023-06-22,United States,UCAN,31,30대,청년층,Female,Laptop,17.99,5818,3826,1992
41,42,Basic,2022-06-15,2023-06-28,Canada,UCAN,40,40대,중년층,Male,Smartphone,7.91,6239,4311,1928
42,43,Standard,2022-02-07,2023-06-27,United Kingdom,EMEA,36,30대,중년층,Female,Smart TV,13.2,6643,4551,2092
