,User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,Subscription Cost
0,1,Basic,10,22-01-15,23-06-10,United States,28,Male,Smartphone,1 Month,8.99
1,2,Premium,15,21-09-05,23-06-22,Canada,35,Female,Tablet,1 Month,15.03
2,3,Standard,12,23-02-28,23-06-27,United Kingdom,42,Male,Smart TV,1 Month,13.2
3,4,Standard,12,22-07-10,23-06-26,Australia,51,Female,Laptop,1 Month,12.12
4,5,Basic,10,23-05-01,23-06-28,Germany,33,Male,Smartphone,1 Month,9.03
5,6,Premium,15,22-03-18,23-06-27,France,29,Female,Smart TV,1 Month,20.32
6,7,Standard,12,21-12-09,23-06-25,Brazil,46,Male,Tablet,1 Month,7.11
7,8,Basic,10,23-04-02,23-06-24,Mexico,39,Female,Laptop,1 Month,6.62
8,9,Standard,12,22-10-20,23-06-23,Spain,37,Male,Smartphone,1 Month,14.67
9,10,Premium,15,23-01-07,23-06-22,Italy,44,Female,Smart TV,1 Month,20.32
10,11,Basic,10,22-05-16,23-06-22,United States,31,Female,Smartphone,1 Month,8.99
11,12,Premium,15,23-03-23,23-06-28,Canada,45,Male,Tablet,1 Month,15.03
12,13,Standard,12,21-11-30,23-06-27,United Kingdom,48,Female,Laptop,1 Month,13.2
13,14,Basic,10,22-08-01,23-06-26,Australia,27,Male,Smartphone,1 Month,7.84
14,15,Standard,12,23-05-09,23-06-28,Germany,38,Female,Smart TV,1 Month,14.67
15,16,Premium,15,22-04-07,23-06-27,France,36,Male,Tablet,1 Month,20.32
16,17,Basic,10,22-01-24,23-06-25,Brazil,30,Female,Laptop,1 Month,4.61
17,18,Standard,12,21-10-18,23-06-24,Mexico,43,Male,Smartphone,1 Month,10.43
18,19,Premium,15,23-02-15,23-06-23,Spain,32,Female,Smart TV,1 Month,20.32
19,20,Basic,10,23-05-27,23-06-22,Italy,41,Male,Tablet,1 Month,9.03
20,21,Premium,15,23-06-10,23-06-22,United States,26,Female,Laptop,1 Month,17.99
21,22,Basic,10,22-07-22,23-06-28,Canada,34,Male,Smartphone,1 Month,7.91
22,23,Standard,12,21-12-05,23-06-27,United Kingdom,49,Female,Smart TV,1 Month,13.2
23,24,Standard,12,22-04-03,23-06-26,Australia,31,Male,Tablet,1 Month,12.12
24,25,Basic,10,23-03-14,23-06-28,Germany,40,Female,Laptop,1 Month,9.03
25,26,Premium,15,22-01-12,23-06-27,France,29,Male,Smartphone,1 Month,20.32
26,27,Basic,10,22-08-29,23-06-25,Brazil,47,Female,Smart TV,1 Month,4.61
27,28,Standard,12,21-09-27,23-06-24,Mexico,33,Male,Tablet,1 Month,10.43
28,29,Premium,15,22-12-19,23-06-23,Spain,36,Female,Laptop,1 Month,20.32
29,30,Basic,10,23-05-17,23-06-22,Italy,42,Male,Smartphone,1 Month,9.03
30,31,Premium,15,23-02-03,23-06-22,United States,28,Female,Smart TV,1 Month,17.99
31,32,Basic,10,22-07-07,23-06-28,Canada,37,Male,Tablet,1 Month,7.91
32,33,Standard,12,22-01-21,23-06-27,United Kingdom,41,Female,Laptop,1 Month,13.2
33,34,Standard,12,22-05-25,23-06-26,Australia,29,Male,Smartphone,1 Month,12.12
34,35,Basic,10,23-04-11,23-06-28,Germany,39,Female,Smart TV,1 Month,9.03
35,36,Premium,15,22-03-01,23-06-27,France,35,Male,Tablet,1 Month,20.32
36,37,Basic,10,22-09-14,23-06-25,Brazil,45,Female,Laptop,1 Month,4.61
37,38,Standard,12,21-11-05,23-06-24,Mexico,32,Male,Smartphone,1 Month,10.43
38,39,Premium,15,22-12-28,23-06-23,Spain,27,Female,Smart TV,1 Month,20.32
39,40,Basic,10,23-03-07,23-06-22,Italy,48,Male,Tablet,1 Month,9.03
40,41,Premium,15,23-01-20,23-06-22,United States,31,Female,Laptop,1 Month,17.99
41,42,Basic,10,22-06-15,23-06-28,Canada,40,Male,Smartphone,1 Month,7.91
42,43,Standard,12,22-02-07,23-06-27,United Kingdom,36,Female,Smart TV,1 Month,13.2
43,44,Standard,12,22-04-26,23-06-26,Australia,29,Male,Tablet,1 Month,12.12
44,45,Basic,10,23-01-28,23-06-28,Germany,43,Female,Laptop,1 Month,9.03
45,46,Premium,15,22-02-23,23-06-27,France,34,Male,Smartphone,1 Month,20.32
46,47,Basic,10,22-10-05,23-06-25,Brazil,39,Female,Smart TV,1 Month,4.61
47,48,Standard,12,21-09-15,23-06-24,Mexico,32,Male,Tablet,1 Month,10.43
48,49,Premium,15,22-11-10,23-06-23,Spain,28,Female,Laptop,1 Month,20.32
49,50,Basic,10,23-06-02,23-06-22,Italy,45,Male,Smartphone,1 Month,9.03
50,51,Premium,15,23-02-27,23-06-22,United States,30,Female,Smart TV,1 Month,17.99
51,52,Basic,10,22-08-29,23-06-28,Canada,37,Male,Tablet,1 Month,7.91
52,53,Standard,12,22-01-13,23-06-27,United Kingdom,41,Female,Laptop,1 Month,13.2
53,54,Standard,12,22-06-30,23-06-26,Australia,29,Male,Smartphone,1 Month,12.12
54,55,Basic,10,23-04-20,23-06-28,Germany,39,Female,Smart TV,1 Month,9.03
55,56,Premium,15,22-03-15,23-06-27,France,36,Male,Tablet,1 Month,20.32
56,57,Basic,10,22-10-01,23-06-25,Brazil,46,Female,Laptop,1 Month,4.61
57,58,Standard,12,21-10-08,23-06-24,Mexico,34,Male,Smartphone,1 Month,10.43
58,59,Premium,15,22-12-03,23-06-23,Spain,27,Female,Smart TV,1 Month,20.32
59,60,Basic,10,23-06-14,23-06-22,Italy,42,Male,Tablet,1 Month,9.03
60,61,Premium,15,23-02-08,23-06-22,United States,28,Female,Laptop,1 Month,17.99
61,62,Basic,10,22-08-03,23-06-28,Canada,37,Male,Smartphone,1 Month,7.91
62,63,Standard,12,22-02-23,23-06-27,United Kingdom,41,Female,Smart TV,1 Month,13.2
63,64,Standard,12,22-06-20,23-06-26,Australia,29,Male,Tablet,1 Month,12.12
64,65,Basic,10,23-03-29,23-06-28,Germany,40,Female,Laptop,1 Month,9.03
65,66,Premium,15,22-01-30,23-06-27,France,29,Male,Smartphone,1 Month,20.32
66,67,Basic,10,22-09-18,23-06-25,Brazil,47,Female,Smart TV,1 Month,4.61
67,68,Standard,12,21-11-09,23-06-24,Mexico,33,Male,Tablet,1 Month,10.43
68,69,Premium,15,22-12-23,23-06-23,Spain,36,Female,Laptop,1 Month,20.32
69,70,Basic,10,23-05-08,23-06-22,Italy,41,Male,Smartphone,1 Month,9.03
70,71,Basic,10,22-01-26,23-06-20,United States,27,Male,Smartphone,1 Month,8.99
71,72,Basic,10,22-10-11,23-06-22,Canada,31,Female,Smartphone,1 Month,7.91
72,73,Standard,12,22-09-27,23-06-26,United Kingdom,28,Female,Laptop,1 Month,13.2
73,74,Premium,13,22-12-14,23-06-25,Australia,41,Female,Smartphone,1 Month,16.39
74,75,Basic,13,22-05-28,23-06-26,Germany,28,Female,Laptop,1 Month,9.03
75,76,Basic,13,21-12-29,23-06-26,France,51,Female,Laptop,1 Month,10.16
76,77,Premium,15,22-12-25,23-06-23,Brazil,45,Female,Smartphone,1 Month,9.96
77,78,Standard,15,22-11-18,23-06-28,Mexico,49,Male,Tablet,1 Month,10.43
78,79,Standard,15,22-12-03,23-06-25,Spain,43,Female,Laptop,1 Month,14.67
79,80,Basic,12,22-11-08,23-06-22,Italy,43,Male,Tablet,1 Month,9.03
80,81,Premium,10,23-01-11,23-06-24,United States,37,Male,Tablet,1 Month,17.99
81,82,Standard,12,22-12-07,23-06-28,Canada,35,Male,Laptop,1 Month,11.87
82,83,Basic,10,22-10-20,23-06-26,United Kingdom,46,Female,Smartphone,1 Month,7.91
83,84,Standard,12,23-04-13,23-06-25,Australia,32,Male,Smartphone,1 Month,12.12
84,85,Premium,10,23-04-06,23-06-27,Germany,37,Female,Laptop,1 Month,20.32
85,86,Basic,11,22-03-04,23-06-25,France,29,Female,Smartphone,1 Month,10.16
